사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
인천 22계 2022-2256(1),오피스텔(주거),오피스텔,오피스텔(업무용),인천,남동구,"인천 남동구 간석동 74-11 ,75-8,75-9 용정에이 5층 501호","220,000,000","107,800,000",낙찰,"138,900,900",63.10%,2023-10-16,2023_4Q,3
인천 22계 2022-2256(2),오피스텔(주거),오피스텔,오피스텔(업무용),인천,남동구,"인천 남동구 간석동 74-11 ,75-8,75-9 용정에이 5층 502호","220,000,000","107,800,000",낙찰,"143,999,999",65.50%,2023-10-16,2023_4Q,3
인천 3계 2022-2362,점포,근린상가,점포상가,인천,서구,인천 서구 왕길동 272-24,"1,074,970,000","752,479,000",낙찰,"910,500,000",84.70%,2023-07-31,2023_3Q,3
인천 15계 2022-2614,단독주택,단독,단독주택,인천,서구,인천 서구 마전동 990-2,"1,243,453,120","1,243,453,120",낙찰,"1,361,999,900",109.50%,2023-08-09,2023_3Q,3
인천 3계 2022-2683,축사,기타토지,기타토지,인천,강화군,"인천 강화군 불은면 삼성리 1006 ,1007,1008","2,227,310,000","1,091,382,000",낙찰,"1,103,700,000",49.60%,2023-11-20,2023_4Q,3
인천 1계 2022-2928,다세대,다세대주택,다세대,인천,계양구,인천 계양구 임학동 32 뉴플러스홈 5층 502호,"123,000,000","3,474,000",낙찰,"3,557,000",2.90%,2023-09-18,2023_3Q,3
인천 11계 2022-2966,다세대,다세대주택,다세대,인천,동구,"인천 동구 만석동 5-23 ,5-25 삼성빌라 F동 1층 103호","59,400,000","9,983,000",낙찰,"10,010,000",16.90%,2023-08-28,2023_3Q,3
인천 9계 2022-3167,다세대,다세대주택,다세대,인천,서구,인천 서구 가좌동 157-79 은성빌라 2동 지하층 1호,"78,000,000","26,754,000",낙찰,"33,599,999",43.10%,2023-09-05,2023_3Q,3
인천 26계 2022-3419,다세대,다세대주택,다세대,인천,부평구,인천 부평구 청천동 234 삼정에이스빌 102동 4층 401호,"124,000,000","5,004,000",낙찰,"115,000,000",92.70%,2023-12-05,2023_4Q,3
인천 18계 2022-3747,근린상가,근린상가,근린상가,인천,강화군,인천 강화군 강화읍 월곳리 753-6 강화프라자2 2층 205호,"456,000,000","223,440,000",낙찰,"319,000,000",70.00%,2023-09-11,2023_3Q,3
인천 16계 2022-3761,근린주택,근린주택,근린주택,인천,연수구,인천 연수구 선학동 96-21,"505,250,000","505,250,000",낙찰,"505,515,000",100.10%,2023-07-12,2023_3Q,3
인천 4계 2022-3884,아파트상가,아파트상가,근린상가,인천,서구,"인천 서구 불로동 316-1 ,328,736 퀸스타운동성 상가동 지하층 B06호","232,000,000","79,576,000",낙찰,"100,000,000",43.10%,2023-07-05,2023_3Q,3
인천 14계 2022-3907,다세대,다세대주택,다세대,인천,미추홀구,"인천 미추홀구 주안동 1499-11 ,1499-25 동일빌라 지하층 101호","65,000,000","15,607,000",낙찰,"43,233,333",66.50%,2023-07-27,2023_3Q,3
인천 10계 2022-3976,오피스텔(주거),오피스텔,오피스텔(업무용),인천,중구,인천 중구 답동 43-4 아르누보 2층 206호,"280,000,000","32,942,000",낙찰,"35,800,900",12.80%,2023-09-25,2023_3Q,3
인천 7계 2022-3983(1),점포,근린상가,점포상가,인천,강화군,인천 강화군 선원면 창리 425 1호,"227,336,330","227,336,330",낙찰,"246,000,000",108.20%,2023-07-26,2023_3Q,3
인천 7계 2022-3983(2),임야,임야,임야,인천,강화군,인천 강화군 선원면 창리 산92-1,"14,904,000","3,578,000",낙찰,"5,590,000",37.50%,2023-12-15,2023_4Q,3
