사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
대전 3계 2020-105937,다세대,다세대주택,다세대,세종,세종시,세종 세종시 나성동 730 에스알파크시티 1층 101호,"939,000,000","460,110,000",낙찰,"630,123,000",67.1%,2021-09-13,2021_3Q,3
대전 8계 2020-106077,대지,나대지,나대지,세종,세종시,세종 세종시 전동면 송곡리 214-10,"403,100,000","282,170,000",낙찰,"368,000,000",91.3%,2021-10-19,2021_4Q,3
대전 6계 2020-106435,근린상가,근린상가,근린상가,세종,세종시,세종 세종시 소담동 544 아크레타아이콤스타타워 1층 104호,"939,000,000","657,300,000",낙찰,"686,210,000",73.1%,2021-11-03,2021_4Q,3
대전 2계 2020-106633,차량,기타토지,기타토지,세종,세종시,세종 세종시 연동면 응암리 454-9 1층주차장내 보관,"55,000,000","38,500,000",낙찰,"38,580,000",70.1%,2021-09-27,2021_3Q,3
대전 5계 2020-107575,전,전,전,세종,세종시,세종 세종시 연서면 용암리 252,"316,214,000","316,214,000",낙찰,"317,150,000",100.3%,2021-11-17,2021_4Q,3
대전 8계 2020-108509,임야,임야,임야,세종,세종시,세종 세종시 전동면 노장리 산87,"4,905,000","3,434,000",낙찰,"8,200,000",167.2%,2021-12-20,2021_4Q,3
대전 2계 2020-108592,중기,기타토지,기타토지,세종,세종시,세종 세종시 연동면 응암리 925 1층주차장내 보관,"50,000,000","24,500,000",낙찰,"27,010,000",54.0%,2021-09-27,2021_3Q,3
대전 2계 2020-108646,중기,기타토지,기타토지,세종,세종시,세종 세종시 연동면 응암리 454-9 1층주차장내 보관,"43,000,000","30,100,000",낙찰,"30,200,000",70.2%,2021-08-23,2021_3Q,3
대전 1계 2020-108783,근린상가,근린상가,근린상가,세종,세종시,세종 세종시 새롬동 579 해피라움더블유 1층 135호,"1,060,000,000","742,000,000",낙찰,"830,010,000",78.3%,2021-11-08,2021_4Q,3
대전 2계 2020-109526(1),중기,기타토지,기타토지,세종,세종시,세종 세종시 연동면 응암리 925 신성한울림주차장내 보관,"25,000,000","17,500,000",낙찰,"20,077,000",80.3%,2021-08-23,2021_3Q,3
대전 2계 2020-109526(2),중기,기타토지,기타토지,세종,세종시,세종 세종시 연동면 응암리 925 신성한울림주차장내 보관,"25,000,000","17,500,000",낙찰,"18,500,000",74.0%,2021-08-23,2021_3Q,3
대전 2계 2020-110083,중기,기타토지,기타토지,세종,세종시,세종 세종시 연동면 응암리 925 중부복합물류터미널 ICD동내 보관(채권자 효성캐피탈(주)에게 보관(채권자가 신성한울림주차장 임동철에게 재보관시킴)),"38,500,000","18,865,000",낙찰,"23,411,000",60.8%,2021-07-05,2021_3Q,3
대전 2계 2020-110328,차량,기타토지,기타토지,세종,세종시,세종 세종시 연동면 응암리 925 아이씨디동 1층내 보관(채권자 롯데오토리스(주)에게 보관),"42,000,000","4,941,000",낙찰,"5,280,000",12.6%,2021-12-06,2021_4Q,3
대전 2계 2020-110793,차량,기타토지,기타토지,세종,세종시,세종 세종시 연동면 응암리 925 아이씨디동 1층내 보관(채권자 롯데오토리스(주)에게 보관),"6,200,000","4,340,000",낙찰,"4,512,000",72.8%,2021-07-05,2021_3Q,3
대전 2계 2020-110809,중기,기타토지,기타토지,세종,세종시,세종 세종시 연동면 응암리 925 아이씨디동 1층내 보관(채권자 롯데오토리스(주)에게 보관),"19,000,000","9,310,000",낙찰,"12,050,000",63.4%,2021-08-23,2021_3Q,3
대전 7계 2020-111222(1),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 조치원읍 번암리 61-6 세종메디컬센터 1동 2층 202호,"1,019,000,000","349,517,000",낙찰,"471,300,000",46.3%,2021-10-12,2021_4Q,3
대전 7계 2020-111222(2),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 조치원읍 번암리 61-6 세종메디컬센터 1동 2층 201호,"862,000,000","295,666,000",낙찰,"398,700,000",46.3%,2021-10-12,2021_4Q,3
대전 7계 2020-111222(3),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 조치원읍 번암리 61-6 세종메디컬센터 1동 2층 203호,"1,072,000,000","367,696,000",낙찰,"495,800,000",46.3%,2021-10-12,2021_4Q,3
대전 9계 2020-111246(1),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 조치원읍 번암리 61-6 1동 4층 401호,"930,000,000","455,700,000",낙찰,"460,100,000",49.5%,2021-11-02,2021_4Q,3
대전 9계 2020-111246(2),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 조치원읍 번암리 61-6 1동 4층 403호,"556,000,000","272,440,000",낙찰,"277,100,000",49.8%,2021-11-02,2021_4Q,3
대전 5계 2021-275(1),임야,임야,임야,세종,세종시,세종 세종시 전동면 노장리 산52-4,"1,042,282,000","357,503,000",낙찰,"421,505,500",40.4%,2021-12-22,2021_4Q,3
대전 5계 2021-763(1),숙박시설,숙박시설,숙박시설,세종,세종시,세종 세종시 조치원읍 원리 9-32,"679,369,400","679,369,400",낙찰,"731,100,000",107.6%,2021-07-21,2021_3Q,3
대전 6계 2021-954(1),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 소담동 529 도경프라자 3층 302호,"563,000,000","275,870,000",낙찰,"350,000,000",62.2%,2021-09-29,2021_3Q,3
대전 6계 2021-954(2),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 소담동 529 도경프라자 5층 504호,"370,000,000","181,300,000",낙찰,"230,000,000",62.2%,2021-09-29,2021_3Q,3
대전 4계 2021-1100,근린상가,근린상가,근린상가,세종,세종시,세종 세종시 나성동 767 갤러리세종프라자 2층 211호,"356,000,000","174,440,000",낙찰,"222,200,000",62.4%,2021-10-05,2021_4Q,3
대전 5계 2021-1117(1),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 대평동 685 씨티오브드림 5층 514호,"212,000,000","72,716,000",낙찰,"100,000,000",47.2%,2021-12-22,2021_4Q,3
대전 5계 2021-1117(2),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 대평동 685 씨티오브드림 5층 515호,"207,000,000","71,001,000",낙찰,"100,000,000",48.3%,2021-12-22,2021_4Q,3
대전 1계 2021-1179,임야,임야,임야,세종,세종시,세종 세종시 전동면 송곡리 산6-16,"5,808,000","2,846,000",낙찰,"6,797,990",117.0%,2021-11-08,2021_4Q,3
대전 8계 2021-1254(2),전,전,전,세종,세종시,세종 세종시 전동면 봉대리 393,"264,017,000","184,812,000",낙찰,"193,455,000",73.3%,2021-10-19,2021_4Q,3
대전 8계 2021-1254(3),전,전,전,세종,세종시,세종 세종시 전동면 봉대리 433,"269,557,000","269,557,000",낙찰,"271,200,000",100.6%,2021-12-20,2021_4Q,3
대전 1계 2021-1285,임야,임야,임야,세종,세종시,세종 세종시 장군면 송문리 281-10,"255,357,100","125,125,000",낙찰,"165,357,100",64.8%,2021-10-06,2021_4Q,3
대전 9계 2021-1865,단독주택,단독,단독주택,세종,세종시,세종 세종시 금남면 원봉리 423-1,"641,454,000","449,018,000",낙찰,"556,000,000",86.7%,2021-11-02,2021_4Q,3
대전 3계 2021-1971,다세대,다세대주택,다세대,세종,세종시,"세종 세종시 금남면 도남리 95 ,96 B동 3층 301호","243,000,000","83,349,000",낙찰,"122,210,000",50.3%,2021-11-22,2021_4Q,3
대전 5계 2021-2349,임야,임야,임야,세종,세종시,세종 세종시 장군면 송학리 479-16,"283,360,000","283,360,000",낙찰,"383,888,000",135.5%,2021-09-08,2021_3Q,3
대전 8계 2021-2509(2),근린상가,근린상가,근린상가,세종,세종시,세종 세종시 조치원읍 번암리 61-6 세종메티컬센터 1동 1층 107호,"415,000,000","142,345,000",낙찰,"142,350,000",34.3%,2021-12-20,2021_4Q,3
대전 8계 2021-2981,임야,임야,임야,세종,세종시,세종 세종시 부강면 노호리 산112,"330,638,800","285,586,400",낙찰,"411,553,000",124.5%,2021-10-19,2021_4Q,3
대전 3계 2021-3120,단독주택,단독,단독주택,세종,세종시,세종 세종시 연동면 문주리 152-12 1동호,"642,771,000","449,940,000",낙찰,"539,999,000",84.0%,2021-10-18,2021_4Q,3
대전 3계 2021-3526,자동차시설,기타건물,기타건물,세종,세종시,세종 세종시 부강면 노호리 360 주건축물 1동,"357,100,540","357,100,540",낙찰,"430,000,000",120.4%,2021-10-18,2021_4Q,3
대전 3계 2021-3717(1),답,답,답,세종,세종시,세종 세종시 부강면 행산리 237-7,"3,514,000","3,514,000",낙찰,"4,270,000",121.5%,2021-10-18,2021_4Q,3
