사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
논산 2계 2019-22254(6),단독주택,단독,단독주택,충남,부여군,충남 부여군 장암면 하황리 443-1,"102,938,900","50,440,000",낙찰,"75,990,000",73.8%,2024-08-26,2024_3Q,3
논산 2계 2019-22254(7),전,전,전,충남,부여군,충남 부여군 장암면 하황리 444-1,"2,070,000","1,014,000",낙찰,"1,400,000",67.6%,2024-08-26,2024_3Q,3
논산 2계 2019-22254(8),답,답,답,충남,부여군,충남 부여군 장암면 하황리 447-3,"2,241,000","1,098,000",낙찰,"1,500,000",66.9%,2024-08-26,2024_3Q,3
논산 2계 2019-22254(9),대지,나대지,나대지,충남,부여군,충남 부여군 장암면 하황리 450,"7,200,000","3,528,000",낙찰,"5,000,000",69.4%,2024-08-26,2024_3Q,3
논산 2계 2019-22254(10),전,전,전,충남,부여군,충남 부여군 장암면 하황리 454,"39,096,000","19,157,000",낙찰,"27,300,000",69.8%,2024-08-26,2024_3Q,3
논산 2계 2019-22254(11),대지,나대지,나대지,충남,부여군,충남 부여군 장암면 하황리 455-1,"38,448,000","26,914,000",낙찰,"31,500,000",81.9%,2024-07-22,2024_3Q,3
논산 2계 2019-22254(12),전,전,전,충남,부여군,충남 부여군 장암면 하황리 457-2,"6,480,000","3,175,000",낙찰,"4,500,000",69.4%,2024-08-26,2024_3Q,3
논산 2계 2019-22254(14),임야,임야,임야,충남,부여군,충남 부여군 장암면 하황리 산36-1,"788,215,000","270,358,000",낙찰,"419,550,000",53.2%,2024-10-07,2024_4Q,3
논산 2계 2021-509(1),다세대,다세대주택,다세대,충남,논산시,충남 논산시 연무읍 동산리 854 인텔리안 2동 1층 102호,"141,000,000","48,363,000",낙찰,"67,388,000",47.8%,2024-07-22,2024_3Q,3
논산 2계 2021-1014(1),전,전,전,충남,논산시,충남 논산시 연무읍 고내리 555-1,"22,488,200","11,019,000",낙찰,"11,019,000",49.0%,2024-12-16,2024_4Q,3
논산 2계 2021-1014(2),대지,나대지,나대지,충남,논산시,충남 논산시 연무읍 고내리 377,"1,497,200","734,000",낙찰,"734,000",49.0%,2024-12-16,2024_4Q,3
논산 2계 2021-1014(3),임야,임야,임야,충남,논산시,충남 논산시 연무읍 고내리 산69,"10,702,320","4,485,000",낙찰,"4,490,000",42.0%,2024-12-16,2024_4Q,3
논산 3계 2022-254,다세대,다세대주택,다세대,충남,논산시,"충남 논산시 연무읍 동산리 875-6 ,877 한솔리슈빌 주2동 3층 301호","130,000,000","63,700,000",낙찰,"88,790,000",68.3%,2024-09-30,2024_3Q,3
논산 3계 2022-1769,공장,공장(지식산업센터 업무시설),공장,충남,부여군,충남 부여군 석성면 석성리 426 1동,"616,221,627","211,364,000",낙찰,"255,000,000",41.4%,2024-09-30,2024_3Q,3
논산 3계 2022-21848,점포,근린상가,점포상가,충남,논산시,충남 논산시 벌곡면 검천리 25-1,"216,972,000","216,972,000",낙찰,"233,000,000",107.4%,2024-09-30,2024_3Q,3
논산 3계 2023-22(1),다세대,다세대주택,다세대,충남,논산시,충남 논산시 양촌면 인천리 414-2 2동 2층 201호,"134,000,000","22,521,000",낙찰,"31,500,000",23.5%,2024-07-15,2024_3Q,3
논산 3계 2023-22(2),다세대,다세대주택,다세대,충남,논산시,충남 논산시 양촌면 인천리 414-2 2동 3층 301호,"134,000,000","22,521,000",낙찰,"23,379,000",17.4%,2024-08-19,2024_3Q,3
