사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
제주 2계 2003-3180,다세대,제주 제주시 도남동 50-8 4층 501호,"65,000,000","45,500,000",낙찰(1/2),"47,600,000",73.2%,2003.08.25
제주 1계 2003-3203,전,제주 제주시 아라일동 4-101,"9,830,800","3,372,000",낙찰(3/4),"3,372,000",34.3%,2003.12.15
제주 2계 2003-3210,답,제주 제주시 한경면 고산리 3397-30,"4,165,000","2,041,000",낙찰(2/3),"2,760,000",66.3%,2003.11.03
제주 1계 2003-3234,연립,제주 제주시 노형동 1275-9 대성 1층 101호,"220,000,000","107,800,000",낙찰(2/3),"160,777,000",73.1%,2003.11.10
제주 2계 2003-3241,아파트,제주 제주시 이도이동 888 주공 114동 3층 306호,"52,000,000","52,000,000",낙찰(0/1),"58,100,000",111.7%,2003.07.21
제주 3계 2003-3258,전,제주 제주시 조천읍 와산리 373,"3,283,200","3,283,200",낙찰(0/1),"5,000,000",152.3%,2003.08.11
제주 1계 2003-3265,임야,제주 서귀포시 표선면 가시리 245,"51,480,000","51,480,000",낙찰(0/1),"52,110,000",101.2%,2003.07.28
제주 2계 2003-3272,임야,제주 서귀포시 중문동 395,"57,996,000","57,996,000",낙찰(0/1),"115,000,000",198.3%,2003.07.21
제주 3계 2003-3289,다세대,제주 제주시 애월읍 신엄리 817-3 4층 501호,"52,000,000","25,480,000",낙찰(2/3),"32,210,000",61.9%,2003.10.20
제주 1계 2003-3296,잡종지,제주 서귀포시 대정읍 상모리 1985-1,"17,600,000","12,320,000",낙찰(1/2),"12,510,000",71.1%,2003.09.01
제주 2계 2003-3302,대지,제주 서귀포시 상예동 1178-8,"9,000,000","4,410,000",낙찰(2/3),"4,500,000",50.0%,2003.09.29
제주 1계 2003-3319(1),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 5층 502호,"64,000,000","64,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(2),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 5층 505호,"85,000,000","85,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(3),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 5층 509호,"43,000,000","43,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(4),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 5층 514호,"52,000,000","52,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(5),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 5층 519호,"87,000,000","87,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(6),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 5층 520호,"50,000,000","50,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(7),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 6층 606호,"43,000,000","43,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(8),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 6층 611호,"42,000,000","42,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(9),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 7층 704호,"38,000,000","38,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(10),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 7층 706호,"43,000,000","43,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(11),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 8층 808호,"43,000,000","43,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(12),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 9층 904호,"38,000,000","38,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(13),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 10층 1006호,"43,000,000","43,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(14),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 10층 1008호,"43,000,000","43,000,000",취하(0/0),0,0%,2003.07.28
제주 1계 2003-3319(15),오피스텔(상가),제주 서귀포시 서귀동 251-1 외2 선경 11층 1110호,"43,000,000","43,000,000",취하(0/0),0,0%,2003.07.28
제주 3계 2003-3326,연립,제주 서귀포시 동홍동 62-8 충암뉴빌라4차 A동 2층 201호,"75,000,000","52,500,000",낙찰(1/2),"54,000,000",72.0%,2003.09.15
제주 2계 2003-3333,전,제주 서귀포시 안덕면 덕수리 605,"23,154,000","7,941,820",낙찰(3/4),"9,670,000",41.8%,2003.11.03
제주 3계 2003-3340,전,제주 제주시 한림읍 상대리 143-22,"16,398,000","16,398,000",낙찰(0/1),"18,160,000",110.7%,2003.09.15
제주 1계 2003-3357,연립,제주 서귀포시 법환동 749 서호 101동 2층 209호,"42,000,000","20,580,000",낙찰(2/3),"28,510,000",67.9%,2003.10.06
제주 3계 2003-3401,차량,제주 제주시 용담이동 996-1 보관,"11,000,000","7,700,000",낙찰(1/2),"10,011,000",91.0%,2003.11.24
제주 1계 2003-3418,차량,제주 제주시 화북일동 3797-1 보관,"10,000,000","7,000,000",낙찰(1/2),"7,870,000",78.7%,2003.09.01
제주 2계 2003-3425,차량,제주 제주시 화북일동 3797-1 보관,"9,000,000","6,300,000",낙찰(1/2),"6,910,000",76.8%,2003.09.29
제주 1계 2003-3449,다세대,제주 제주시 연동 321-10 4층 402호,"60,000,000","42,000,000",낙찰(1/2),"45,500,000",75.8%,2003.09.01
제주 3계 2003-3463,연립,제주 제주시 연동 265 탐라 나동 3층 307호,"82,000,000","57,400,000",낙찰(1/2),"67,510,000",82.3%,2003.09.15
제주 1계 2003-3470,다세대,제주 제주시 이도이동 1014 전원파크맨션 6층 703호,"130,000,000","91,000,000",기각(1/1),0,0%,2003.09.01
제주 2계 2003-3487,다세대,제주 제주시 도평동 933 2층 201호,"63,000,000","44,100,000",낙찰(1/2),"55,100,000",87.5%,2003.09.29
제주 3계 2003-3494,다세대,제주 제주시 건입동 1041-13 1층 101호,"50,136,000","24,567,000",낙찰(2/3),"35,670,000",71.1%,2003.10.20
제주 1계 2003-3500,단독주택,제주 제주시 구좌읍 월정리 22,"23,178,080","23,178,080",낙찰(0/1),"26,300,000",113.5%,2003.07.28
제주 2계 2003-3517,아파트상가,제주 제주시 도남동 923-13 도남성환 2층 208호,"75,000,000","52,500,000",낙찰(1/2),"61,120,000",81.5%,2003.09.29
제주 3계 2003-3555,임야,제주 제주시 구좌읍 덕천리 763,"10,808,000","10,808,000",낙찰(0/1),"30,050,000",278.0%,2003.10.20
제주 1계 2003-3562,단독주택,제주 서귀포시 표선면 표선리 314-5,"216,312,000","151,418,000",낙찰(1/2),"167,700,000",77.5%,2003.09.01
제주 1계 2003-3593,아파트,제주 제주시 아라일동 1708-2 외3 염광 4동 5층 505호,"39,000,000","27,300,000",낙찰(1/2),"29,720,000",76.2%,2003.09.01
제주 3계 2003-3616,대지,제주 서귀포시 표선면 성읍리 1446,"36,680,000","36,680,000",낙찰(0/1),"37,120,000",101.2%,2003.08.11
제주 1계 2003-3623,전,제주 서귀포시 안덕면 화순리 354-3,"190,180,000","190,180,000",낙찰(0/1),"210,000,000",110.4%,2003.07.28
제주 2계 2003-3630,아파트,제주 제주시 노형동 1294-3 2층 202호,"50,000,000","35,000,000",낙찰(1/3),"40,000,000",80.0%,2003.12.08
제주 1계 2003-3661,전,제주 제주시 이도이동 815-3,"49,650,000","49,650,000",취하(0/0),0,0%,2003.07.28
제주 3계 2003-3678,단독주택,제주 제주시 우도면 연평리 52-3,"21,550,850","21,550,850",낙찰(0/1),"33,655,500",156.2%,2003.08.11
제주 1계 2003-3685,아파트,제주 제주시 화북일동 9-1 화북주공 213동 7층 703호,"75,000,000","52,500,000",낙찰(1/2),"62,500,000",83.3%,2003.10.06
제주 1계 2003-3715(1),임야,제주 서귀포시 성산읍 수산리 1607-1,"61,848,000","61,848,000",취하(0/0),0,0%,2003.09.01
