사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
충주 2계 2007-8323(2),답,충북 충주시 신니면 광월리 694,"74,352,000","74,352,000",낙찰(0/1),"80,000,000",107.6%,2008.07.08
충주 2계 2007-8415(1),전,충북 충주시 중앙탑면 가흥리 464,"46,410,000","46,410,000",취하(0/0),0,0%,2008.07.08
충주 2계 2007-8415(2),답,충북 충주시 중앙탑면 가흥리 759-3,"43,344,000","43,344,000",취하(0/0),0,0%,2008.07.08
충주 2계 2007-8415(3),답,충북 충주시 중앙탑면 가흥리 937,"143,343,000","143,343,000",취하(0/0),0,0%,2008.07.08
충주 2계 2007-8446,근린주택,충북 충주시 대소원면 만정리 52-5,"426,066,740","239,663,000",낙찰(2/3),"271,115,000",63.6%,2008.09.16
충주 2계 2007-8477,아파트,충북 음성군 대소면 오산리 114-5 풍산 3동 5층 507호,"40,000,000","30,000,000",낙찰(1/2),"36,565,000",91.4%,2008.08.12
충주 1계 2007-8491,공장,충북 음성군 음성읍 평곡리 192-5 가호,"1,302,494,500","732,653,000",취하(2/3),0,0%,2008.10.10
충주 2계 2007-8507,답,충북 음성군 삼성면 청용리 256,"115,590,000","115,590,000",낙찰(0/1),"121,770,000",105.3%,2008.07.08
충주 2계 2007-8538(1),단독주택,충북 충주시 대소원면 장성리 284-15,"78,159,000","78,159,000",낙찰(0/1),"90,190,000",115.4%,2008.07.08
충주 2계 2007-8538(2),전,충북 충주시 대소원면 장성리 284-23,"58,327,000","58,327,000",낙찰(0/1),"63,090,000",108.2%,2008.07.08
충주 2계 2007-8590,전,충북 충주시 산척면 영덕리 90-1,"11,256,000","8,442,000",낙찰(1/2),"9,400,000",83.5%,2008.08.12
충주 1계 2007-8613(1),답,충북 충주시 앙성면 돈산리 221-1,"236,500,000","236,500,000",취하(0/0),0,0%,2008.07.22
충주 1계 2007-8613(2),하천,충북 충주시 앙성면 돈산리 186-4,"8,358,000","8,358,000",취하(0/0),0,0%,2008.07.22
충주 1계 2007-8613(3),답,충북 충주시 앙성면 목미리 481,"51,120,000","51,120,000",취하(0/0),0,0%,2008.07.22
충주 1계 2007-8613(4),전,충북 충주시 앙성면 단암리 399,"2,510,000","2,510,000",취하(0/0),0,0%,2008.07.22
충주 1계 2007-8613(5),임야,충북 충주시 앙성면 용대리 산26,"38,538,300","38,538,300",취하(0/0),0,0%,2008.07.22
충주 1계 2007-8613(6),답,충북 충주시 앙성면 용대리 307-1,"101,094,000","101,094,000",취하(0/0),0,0%,2008.07.14
