사건번호,용도,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일
울산 3계 1999-41642,빌딩,경남 양산시 원동면 화제리60 외4,"108,779,600","44,556,120",낙찰(4/5),"46,000,000",42.3%,2001.02.16
울산 7계 1999-44962(1),임야,경남 양산시 상북면 석계리 산2,"69,738,600","11,700,180",낙찰(8/9),"14,210,000",20.4%,2001.04.25
울산 7계 1999-44962(4),임야,경남 양산시 상북면 석계리 산5,"678,225,600","142,234,200",낙찰(7/8),"152,700,000",22.5%,2001.03.28
울산 7계 1999-44962(4),임야,경남 양산시 상북면 석계리 산16-10,"247,960,000","101,564,410",낙찰(4/7),"135,160,000",54.5%,2001.04.25
울산 3계 1999-45040,다세대,경남 양산시 물금읍 가촌리 709-4,"42,000,000","13,762,560",낙찰(5/7),"18,600,000",44.3%,2001.02.16
울산 5계 1999-45057,다세대,경남 양산시 물금읍 가촌리 709-4,"49,000,000","25,088,000",낙찰(5/7),"25,100,000",51.2%,2001.03.15
울산 5계 1999-45767,상가,경남 양산시 평산동 564,"18,000,000","1,546,188",낙찰(11/12),"1,800,000",10.0%,2001.01.18
울산 2계 1999-47190,아파트,경남 양산시 덕계동 362 대승하이아트 102동 14층 1603호,"35,000,000","28,000,000",낙찰(3/5),"30,300,000",86.6%,2001.05.09
울산 7계 1999-47329,대지,경남 양산시 상북면 좌삼리 314-2,"13,440,000","2,818,560",낙찰(6/7),"2,810,000",20.9%,2001.01.31
울산 1계 1999-47503,연립,경남 양산시 소주동 535,"38,000,000","24,320,000",낙찰(2/3),"25,007,000",65.8%,2001.01.05
울산 4계 1999-47527(1),빌딩,경남 양산시 덕계동 759-30,"638,686,260","327,007,360",낙찰(3/4),"385,090,000",60.3%,2001.04.27
울산 2계 1999-47596,단독주택,경남 양산시 하북면 순지리 564-4,"36,264,000","9,506,370",낙찰(9/11),"13,025,000",35.9%,2001.01.11
울산 5계 1999-47862,연립,경남 양산시 하북면 용연리437,"40,000,000","20,480,000",낙찰(3/5),"22,800,000",57.0%,2001.02.15
울산 5계 1999-48025,답,경남 양산시 주남동 655,"19,912,200","5,219,856",낙찰(7/9),"5,510,000",27.7%,2001.02.15
울산 3계 1999-48889,아파트,경남 양산시 평산동 46-1 새진흥아파트 303동 1307호,"36,000,000","23,040,000",낙찰(2/3),"25,380,000",70.5%,2001.05.11
울산 4계 1999-49363,답,경남 양산시 호계동 8-2,"2,619,000","1,072,730",취소(4/5),0,0%,2001.02.05
울산 3계 1999-49585,단독주택,경남 양산시 소주동 1239-57,"20,487,000","6,713,170",낙찰(5/6),"8,530,000",41.6%,2001.03.16
울산 5계 1999-50219,답,경남 양산시 상북면 소석리 479-2,"10,560,000","8,448,000",취하(1/1),0,0%,2001.04.18
울산 5계 1999-50219,답,경남 양산시 상북면 소석리 479-4,"4,290,000","3,432,000",취하(1/1),0,0%,2001.04.18
울산 5계 1999-50219,근린상가,경남 양산시 북정동 172-3,"108,396,000","86,716,800",취하(1/1),0,0%,2001.04.18
울산 1계 1999-50622,대지,경남 양산시 신기동 285,"27,360,000","4,590,240",낙찰(8/9),"7,250,500",26.5%,2001.02.08
울산 5계 1999-51342,대지,경남 양산시 동면 내송리 248,"22,764,000","5,967,440",낙찰(5/7),"6,100,000",26.8%,2001.01.18
울산 7계 1999-52017(5),대지,경남 양산시 주진동 110-1,"41,580,000","21,288,960",낙찰(3/4),"25,000,000",60.1%,2001.01.31
울산 7계 1999-52017,답,경남 양산시 주진동 112,"21,120,000",0,낙찰(3/4),"15,000,000",71.0%,2001.01.31
울산 7계 1999-52017,답,경남 양산시 주진동 113-9,"700,000",0,낙찰(3/5),"6,150,000",878.6%,2001.02.28
울산 7계 1999-52017,답,경남 양산시 주진동 116-1,"19,080,000","9,768,960",낙찰(3/4),"25,000,000",131.0%,2001.01.31
울산 7계 1999-52017,답,경남 양산시 주진동 116-2,"44,100,000","22,579,200",낙찰(0/1),"25,000,000",56.7%,2001.01.23
울산 2계 1999-52130,근린주택,경남 양산시 신기동 268-6,"306,304,700","156,828,000",낙찰(3/4),"160,900,000",52.5%,2001.03.13
울산 8계 1999-53751,상가,경남 양산시 덕계동 718-45 평산리203-2 웅상프라자 1층 49호,"68,000,000","7,301,440",낙찰(11/13),"11,510,000",16.9%,2001.05.18
