사건번호,용도,LTV_광주,LTV_전북,시도,시군구,소재지,감정가,최저가,결과,낙찰가,낙찰율,매각일,분기,기간구분
울산 8계 2023-102900,주상복합(주거),기타토지,기타토지,울산,남구,울산 남구 달동 1364-1 울산센트럴자이 102동 18층 1802호,"608,000,000","425,600,000",낙찰,"461,600,000",75.9%,2024-05-30,2024_2Q,3
울산 1계 2023-103064,오피스텔(주거),오피스텔,오피스텔(업무용),울산,남구,울산 남구 신정동 155-3 펠리시떼 6층 601호,"247,000,000","121,030,000",낙찰,"168,990,000",68.4%,2024-03-12,2024_1Q,3
울산 2계 2023-103163,아파트형공장,공장(지식산업센터 업무시설),공장,울산,북구,울산 북구 효문동 812-1 울산 1동 9층 908-8호,"240,000,000","82,320,000",낙찰,"120,210,000",50.1%,2024-05-23,2024_2Q,3
울산 4계 2023-103286(1),임야,임야,임야,울산,울주군,울산 울주군 온양읍 동상리 산83-8,"19,671,000","9,639,000",낙찰,"12,199,000",62.0%,2024-02-20,2024_1Q,3
울산 4계 2023-103286(2),임야,임야,임야,울산,울주군,울산 울주군 온양읍 동상리 산83-12,"22,968,000","11,255,000",낙찰,"13,500,000",58.8%,2024-02-20,2024_1Q,3
울산 8계 2023-103323,아파트,아파트,아파트,울산,중구,울산 중구 태화동 169-2 동현빌리지 4층 401호,"310,000,000","151,900,000",낙찰,"228,800,000",73.8%,2024-02-15,2024_1Q,3
울산 5계 2023-103392(2),임야,임야,임야,울산,울주군,울산 울주군 온양읍 발리 산71,"24,484,350","11,997,000",낙찰,"12,251,000",50.0%,2024-01-10,2024_1Q,3
울산 5계 2023-103392(3),도로,기타토지,기타토지,울산,울주군,울산 울주군 온양읍 발리 산80-2,"1,142,390","560,000",낙찰,"600,000",52.5%,2024-01-10,2024_1Q,3
울산 8계 2023-103422,연립,연립주택,연립·빌라,울산,중구,울산 중구 성안동 873-4 세영파크홈(솔마을) 4층 405호,"173,000,000","84,770,000",낙찰,"110,000,009",63.6%,2024-02-15,2024_1Q,3
울산 9계 2023-103439,아파트,아파트,아파트,울산,동구,울산 동구 방어동 1040-8 한빛화이트빌 5층 501호,"218,000,000","106,820,000",낙찰,"133,000,000",61.0%,2024-05-01,2024_2Q,3
